Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Clase Real;Clase Predicha;Resultado Inferencia;bool;bool_auto
5,16;1,34;5,12;0,53;-1,29;0,9;27,24;Mov00;Mov00;0,9845;VERDADERO;True
5,35;1,27;4,93;0,51;-1,25;0,92;27,26;Mov00;Mov00;1;VERDADERO;True
5,79;1,11;4,37;0,47;-1,16;0,92;27,25;Mov00;Mov00;1;VERDADERO;True
5,99;1,13;3,91;0,37;-1,02;0,89;27,25;Mov00;Mov00;0,8062;VERDADERO;True
6,29;1,06;3,83;0,21;-0,96;0,87;27,25;Mov00;Mov00;0,8926;VERDADERO;True
6,58;0,96;4,01;0,06;-0,92;0,83;27,27;Mov00;Mov00;0,8598;VERDADERO;True
6,65;0,96;4,19;-0,07;-0,87;0,78;27,27;Mov00;Mov00;0,8398;VERDADERO;True
6,83;0,79;4,7;-0,14;-0,79;0,73;27,27;Mov00;Mov00;0,7734;VERDADERO;True
7,08;0,69;5,09;-0,14;-0,77;0,69;27,27;Mov00;Mov00;0,7734;VERDADERO;True
7,29;0,51;5,08;-0,11;-0,73;0,66;27,26;Mov00;Mov00;0,7587;VERDADERO;True
7,36;0,33;5,13;-0,08;-0,65;0,62;27,27;Mov00;Mov00;0,8799;VERDADERO;True
7,47;0,33;5,33;-0,04;-0,59;0,57;27,28;Mov00;Mov00;0,8402;VERDADERO;True
7,61;0,36;5,49;0,01;-0,59;0,53;27,29;Mov00;Mov00;0,8562;VERDADERO;True
7,73;0,35;5,56;0,04;-0,64;0,51;27,27;Mov00;Mov00;0,7531;VERDADERO;True
7,95;0,32;5,45;0,05;-0,67;0,48;27,28;Mov00;Mov00;0,8955;VERDADERO;True
8,08;0,26;5,41;0,03;-0,66;0,42;27,27;Mov00;Mov00;0,8749;VERDADERO;True
7,99;0,36;5,36;0,03;-0,65;0,37;27,28;Mov00;Mov00;0,7819;VERDADERO;True
7,88;0,33;5,17;0,03;-0,65;0,35;27,27;Mov00;Mov00;0,7773;VERDADERO;True
8,09;0,04;5,12;0,07;-0,64;0,3;27,25;Mov00;Mov00;0,7775;VERDADERO;True
8,3;0,11;5,02;0,18;-0,57;0,21;27,26;Mov00;Mov00;0,7956;VERDADERO;True
8,05;0,35;4,93;0,27;-0,5;0,18;27,27;Mov00;Mov00;0,8287;VERDADERO;True
8,12;0,46;4,67;0,29;-0,48;0,16;27,28;Mov00;Mov00;0,8148;VERDADERO;True
8,22;0,56;4,56;0,24;-0,4;0,12;27,27;Mov00;Mov00;0,7937;VERDADERO;True
8,18;0,64;4,63;0,16;-0,34;0,06;27,28;Mov00;Mov00;0,8418;VERDADERO;True
8,16;0,69;4,83;0,1;-0,3;0,01;27,27;Mov00;Mov00;0,7709;VERDADERO;True
8,05;0,7;5,04;0,06;-0,28;-0,03;27,27;Mov00;Mov00;0,7938;VERDADERO;True
7,81;0,7;5,28;0,05;-0,3;-0,06;27,27;Mov00;Mov00;0,805;VERDADERO;True
7,67;0,7;5,31;0,08;-0,34;-0,07;27,26;Mov00;Mov00;0,8184;VERDADERO;True
7,72;0,74;5,16;0,12;-0,32;-0,07;27,27;Mov00;Mov00;0,8678;VERDADERO;True
7,64;0,87;5,06;0,14;-0,26;-0,1;27,26;Mov00;Mov00;0,78;VERDADERO;True
7,5;1,11;5,18;0,11;-0,22;-0,11;27,27;Mov00;Mov00;0,8271;VERDADERO;True
7,53;1,31;5,44;0,06;-0,22;-0,1;27,26;Mov00;Mov00;0,8389;VERDADERO;True
7,67;1,3;5,6;0,01;-0,24;-0,08;27,26;Mov00;Mov00;0,757;VERDADERO;True
7,64;1,22;5,79;0;-0,27;-0,09;27,28;Mov00;Mov00;0,8411;VERDADERO;True
8,07;1,83;4,39;-0,32;-0,31;-0,27;27,29;Mov00;Mov00;0,7756;VERDADERO;True
7,75;1,65;5,19;-0,59;0,14;-0,34;27,28;Mov00;Mov00;0,7598;VERDADERO;True
6,96;0,99;7,22;-0,44;0,04;-0,29;27,29;Mov00;Mov00;0,8923;VERDADERO;True
6,98;1,37;6,84;-0,08;-0,18;-0,15;27,28;Mov00;Mov00;0,8948;VERDADERO;True
6,99;1,48;6,07;0,21;-0,2;-0,04;27,27;Mov00;Mov00;0,8713;VERDADERO;True
7,05;1,77;5,41;0,31;-0,24;0,06;27,27;Mov00;Mov00;0,7957;VERDADERO;True
7,52;1,77;4,84;0,26;-0,29;0,13;27,27;Mov00;Mov00;0,7647;VERDADERO;True
7,85;1,42;4,54;0,15;-0,31;0,11;27,29;Mov00;Mov00;0,8526;VERDADERO;True
7,66;1,36;4,37;0,03;-0,3;0,08;27,28;Mov00;Mov00;0,816;VERDADERO;True
7,4;1,6;4,54;-0,11;-0,25;0,1;27,26;Mov00;Mov00;0,7683;VERDADERO;True
7,45;1,5;4,81;-0,23;-0,27;0,14;27,28;Mov00;Mov00;0,8243;VERDADERO;True
7,82;1,31;4,98;-0,29;-0,28;0,16;27,28;Mov00;Mov00;0,7552;VERDADERO;True
8;1,34;5,13;-0,3;-0,27;0,16;27,28;Mov00;Mov00;0,8864;VERDADERO;True
7,89;1,49;5,59;-0,27;-0,31;0,19;27,27;Mov00;Mov00;0,7888;VERDADERO;True
7,88;1,26;5,81;-0,15;-0,43;0,23;27,28;Mov00;Mov00;0,8494;VERDADERO;True
7,96;1,05;5,29;-0,05;-0,44;0,26;27,27;Mov00;Mov00;0,7968;VERDADERO;True
7,95;1,51;4,97;-0,07;-0,38;0,26;27,27;Mov00;Mov00;0,828;VERDADERO;True
7,84;1,41;4,95;-0,12;-0,42;0,3;27,27;Mov00;Mov00;0,832;VERDADERO;True
8,07;1,2;4,97;-0,17;-0,37;0,33;27,27;Mov00;Mov00;0,7777;VERDADERO;True
8,21;1,02;5,4;-0,21;-0,36;0,29;27,28;Mov00;Mov00;0,8954;VERDADERO;True
8,25;0,94;6,09;0,03;-0,22;0,26;27,28;Mov00;Mov00;1;VERDADERO;True
8,26;0,94;6;0,07;-0,19;0,26;27,29;Mov00;Mov00;1;VERDADERO;True
8,25;0,93;5,85;0,11;-0,16;0,26;27,28;Mov00;Mov00;1;VERDADERO;True
8,16;0,89;5,42;0,17;-0,14;0,25;27,29;Mov00;Mov00;1;VERDADERO;True
8,16;0,87;5,38;0,17;-0,15;0,25;27,29;Mov00;Mov00;1;VERDADERO;True
8,16;0,79;5,27;0,16;-0,17;0,25;27,28;Mov00;Mov00;1;VERDADERO;True
8,38;0,76;4,85;0,14;-0,2;0,24;27,31;Mov00;Mov00;1;VERDADERO;True
8,44;0,69;4,85;0,13;-0,18;0,24;27,31;Mov00;Mov00;1;VERDADERO;True
8,54;0,63;4,76;0,11;-0,15;0,23;27,3;Mov00;Mov00;1;VERDADERO;True
8,49;0,71;4,77;0,04;-0,12;0,2;27,29;Mov00;Mov00;1;VERDADERO;True
8,43;0,74;4,74;0;-0,11;0,18;27,28;Mov00;Mov00;1;VERDADERO;True
8,41;0,84;4,69;-0,05;-0,11;0,17;27,28;Mov00;Mov00;1;VERDADERO;True
8,29;0,96;4,82;-0,1;-0,01;0,12;27,28;Mov00;Mov00;1;VERDADERO;True
