Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Clase Real;Clase Predicha;Resultado Inferencia;bool
5,16;1,34;5,12;0,53;-1,29;0,9;27,24;Mov00;Mov00;0,9845;VERDADERO
5,35;1,27;4,93;0,51;-1,25;0,92;27,26;Mov00;Mov00;1;VERDADERO
5,79;1,11;4,37;0,47;-1,16;0,92;27,25;Mov00;Mov00;1;VERDADERO
5,99;1,13;3,91;0,37;-1,02;0,89;27,25;Mov00;Mov00;0,8062;VERDADERO
6,29;1,06;3,83;0,21;-0,96;0,87;27,25;Mov00;Mov00;0,8926;VERDADERO
6,58;0,96;4,01;0,06;-0,92;0,83;27,27;Mov00;Mov00;0,8598;VERDADERO
6,65;0,96;4,19;-0,07;-0,87;0,78;27,27;Mov00;Mov00;0,8398;VERDADERO
6,83;0,79;4,7;-0,14;-0,79;0,73;27,27;Mov00;Mov00;0,7734;VERDADERO
7,08;0,69;5,09;-0,14;-0,77;0,69;27,27;Mov00;Mov00;0,7734;VERDADERO
7,29;0,51;5,08;-0,11;-0,73;0,66;27,26;Mov00;Mov00;0,7587;VERDADERO
7,36;0,33;5,13;-0,08;-0,65;0,62;27,27;Mov00;Mov00;0,8799;VERDADERO
7,47;0,33;5,33;-0,04;-0,59;0,57;27,28;Mov00;Mov00;0,8402;VERDADERO
7,61;0,36;5,49;0,01;-0,59;0,53;27,29;Mov00;Mov00;0,8562;VERDADERO
7,73;0,35;5,56;0,04;-0,64;0,51;27,27;Mov00;Mov00;0,7531;VERDADERO
7,95;0,32;5,45;0,05;-0,67;0,48;27,28;Mov00;Mov00;0,8955;VERDADERO
8,08;0,26;5,41;0,03;-0,66;0,42;27,27;Mov00;Mov00;0,8749;VERDADERO
7,99;0,36;5,36;0,03;-0,65;0,37;27,28;Mov00;Mov00;0,7819;VERDADERO
7,88;0,33;5,17;0,03;-0,65;0,35;27,27;Mov00;Mov00;0,7773;VERDADERO
8,09;0,04;5,12;0,07;-0,64;0,3;27,25;Mov00;Mov00;0,7775;VERDADERO
8,3;0,11;5,02;0,18;-0,57;0,21;27,26;Mov00;Mov00;0,7956;VERDADERO
8,05;0,35;4,93;0,27;-0,5;0,18;27,27;Mov00;Mov00;0,8287;VERDADERO
8,12;0,46;4,67;0,29;-0,48;0,16;27,28;Mov00;Mov00;0,8148;VERDADERO
8,22;0,56;4,56;0,24;-0,4;0,12;27,27;Mov00;Mov00;0,7937;VERDADERO
8,18;0,64;4,63;0,16;-0,34;0,06;27,28;Mov00;Mov00;0,8418;VERDADERO
8,16;0,69;4,83;0,1;-0,3;0,01;27,27;Mov00;Mov00;0,7709;VERDADERO
8,05;0,7;5,04;0,06;-0,28;-0,03;27,27;Mov00;Mov00;0,7938;VERDADERO
7,81;0,7;5,28;0,05;-0,3;-0,06;27,27;Mov00;Mov00;0,805;VERDADERO
7,67;0,7;5,31;0,08;-0,34;-0,07;27,26;Mov00;Mov00;0,8184;VERDADERO
7,72;0,74;5,16;0,12;-0,32;-0,07;27,27;Mov00;Mov00;0,8678;VERDADERO
7,64;0,87;5,06;0,14;-0,26;-0,1;27,26;Mov00;Mov00;0,78;VERDADERO
7,5;1,11;5,18;0,11;-0,22;-0,11;27,27;Mov00;Mov00;0,8271;VERDADERO
7,53;1,31;5,44;0,06;-0,22;-0,1;27,26;Mov00;Mov00;0,8389;VERDADERO
7,67;1,3;5,6;0,01;-0,24;-0,08;27,26;Mov00;Mov00;0,757;VERDADERO
7,64;1,22;5,79;0;-0,27;-0,09;27,28;Mov00;Mov00;0,8411;VERDADERO
8,07;1,83;4,39;-0,32;-0,31;-0,27;27,29;Mov00;Mov00;0,7756;VERDADERO
7,75;1,65;5,19;-0,59;0,14;-0,34;27,28;Mov00;Mov00;0,7598;VERDADERO
6,96;0,99;7,22;-0,44;0,04;-0,29;27,29;Mov00;Mov00;0,8923;VERDADERO
6,98;1,37;6,84;-0,08;-0,18;-0,15;27,28;Mov00;Mov00;0,8948;VERDADERO
6,99;1,48;6,07;0,21;-0,2;-0,04;27,27;Mov00;Mov00;0,8713;VERDADERO
7,05;1,77;5,41;0,31;-0,24;0,06;27,27;Mov00;Mov00;0,7957;VERDADERO
7,52;1,77;4,84;0,26;-0,29;0,13;27,27;Mov00;Mov00;0,7647;VERDADERO
7,85;1,42;4,54;0,15;-0,31;0,11;27,29;Mov00;Mov00;0,8526;VERDADERO
7,66;1,36;4,37;0,03;-0,3;0,08;27,28;Mov00;Mov00;0,816;VERDADERO
7,4;1,6;4,54;-0,11;-0,25;0,1;27,26;Mov00;Mov00;0,7683;VERDADERO
7,45;1,5;4,81;-0,23;-0,27;0,14;27,28;Mov00;Mov00;0,8243;VERDADERO
7,82;1,31;4,98;-0,29;-0,28;0,16;27,28;Mov00;Mov00;0,7552;VERDADERO
8;1,34;5,13;-0,3;-0,27;0,16;27,28;Mov00;Mov00;0,8864;VERDADERO
7,89;1,49;5,59;-0,27;-0,31;0,19;27,27;Mov00;Mov00;0,7888;VERDADERO
7,88;1,26;5,81;-0,15;-0,43;0,23;27,28;Mov00;Mov00;0,8494;VERDADERO
7,96;1,05;5,29;-0,05;-0,44;0,26;27,27;Mov00;Mov00;0,7968;VERDADERO
7,95;1,51;4,97;-0,07;-0,38;0,26;27,27;Mov00;Mov00;0,828;VERDADERO
7,84;1,41;4,95;-0,12;-0,42;0,3;27,27;Mov00;Mov00;0,832;VERDADERO
8,07;1,2;4,97;-0,17;-0,37;0,33;27,27;Mov00;Mov00;0,7777;VERDADERO
8,21;1,02;5,4;-0,21;-0,36;0,29;27,28;Mov00;Mov00;0,8954;VERDADERO
8,25;0,94;6,09;0,03;-0,22;0,26;27,28;Mov00;Mov00;1;VERDADERO
8,26;0,94;6;0,07;-0,19;0,26;27,29;Mov00;Mov00;1;VERDADERO
8,25;0,93;5,85;0,11;-0,16;0,26;27,28;Mov00;Mov00;1;VERDADERO
8,16;0,89;5,42;0,17;-0,14;0,25;27,29;Mov00;Mov00;1;VERDADERO
8,16;0,87;5,38;0,17;-0,15;0,25;27,29;Mov00;Mov00;1;VERDADERO
8,16;0,79;5,27;0,16;-0,17;0,25;27,28;Mov00;Mov00;1;VERDADERO
8,38;0,76;4,85;0,14;-0,2;0,24;27,31;Mov00;Mov00;1;VERDADERO
8,44;0,69;4,85;0,13;-0,18;0,24;27,31;Mov00;Mov00;1;VERDADERO
8,54;0,63;4,76;0,11;-0,15;0,23;27,3;Mov00;Mov00;1;VERDADERO
8,49;0,71;4,77;0,04;-0,12;0,2;27,29;Mov00;Mov00;1;VERDADERO
8,43;0,74;4,74;0;-0,11;0,18;27,28;Mov00;Mov00;1;VERDADERO
8,41;0,84;4,69;-0,05;-0,11;0,17;27,28;Mov00;Mov00;1;VERDADERO
8,29;0,96;4,82;-0,1;-0,01;0,12;27,28;Mov00;Mov00;1;VERDADERO
8,25;0,96;4,77;-0,09;-0,03;0,13;27,28;Mov00;Mov00;1;VERDADERO
8,31;0,92;4,68;-0,09;-0,05;0,14;27,28;Mov00;Mov00;1;VERDADERO
8,27;0,59;4,59;-0,02;0,06;0,08;27,29;Mov00;Mov00;1;VERDADERO
8,26;0,61;4,64;-0,01;0,08;0,06;27,28;Mov00;Mov00;1;VERDADERO
8,29;0,62;4,67;0;0,11;0,05;27,28;Mov00;Mov00;1;VERDADERO
8,32;0,69;4,77;-0,02;0,26;-0,01;27,29;Mov00;Mov00;1;VERDADERO
8,26;0,74;4,8;-0,03;0,3;-0,02;27,28;Mov00;Mov00;1;VERDADERO
8,16;0,76;4,88;-0,06;0,37;-0,04;27,29;Mov00;Mov00;1;VERDADERO
7,54;0,12;6,24;-0,27;0,38;-0,23;27,29;Mov00;Mov00;1;VERDADERO
7,34;0,34;6,25;-0,3;0,28;-0,3;27,29;Mov00;Mov00;1;VERDADERO
7,26;0,61;6;-0,31;0,21;-0,34;27,29;Mov00;Mov00;1;VERDADERO
6,93;0,6;6,56;-0,32;-0,25;-0,4;27,29;Mov00;Mov00;1;VERDADERO
7,51;0,64;5,72;-0,31;-0,54;-0,41;27,27;Mov00;Mov00;1;VERDADERO
8,2;0,9;5,17;-0,3;-0,48;-0,4;27,28;Mov00;Mov00;1;VERDADERO
8,28;1,65;5,93;-0,26;0,18;-0,31;27,3;Mov00;Mov00;1;VERDADERO
8,28;1,74;5,96;-0,27;0,14;-0,28;27,29;Mov00;Mov00;1;VERDADERO
8,37;1,78;5,98;-0,27;0,1;-0,25;27,29;Mov00;Mov00;1;VERDADERO
9,14;1,91;5,17;-0,21;-0,03;0,09;27,27;Mov00;Mov00;1;VERDADERO
9,1;1,88;5,15;-0,18;-0,01;0,13;27,27;Mov00;Mov00;1;VERDADERO
9,03;1,85;5,15;-0,16;0;0,16;27,27;Mov00;Mov00;1;VERDADERO
8,92;1,67;5,39;-0,1;0,11;0,22;27,3;Mov00;Mov00;1;VERDADERO
8,88;1,67;5,45;-0,1;0,14;0,21;27,3;Mov00;Mov00;1;VERDADERO
8,8;1,71;5,47;-0,1;0,17;0,2;27,28;Mov00;Mov00;1;VERDADERO
8,43;1,48;5,53;-0,21;0,17;0,26;27,28;Mov00;Mov00;1;VERDADERO
8,41;1,41;5,5;-0,22;0,16;0,27;27,28;Mov00;Mov00;1;VERDADERO
8,41;1,34;5,45;-0,21;0,15;0,27;27,29;Mov00;Mov00;1;VERDADERO
8,53;1,11;5,41;-0,15;0,18;0,32;27,28;Mov00;Mov00;1;VERDADERO
8,53;1,01;5,45;-0,12;0,2;0,33;27,29;Mov00;Mov00;1;VERDADERO
8,47;0,99;5,52;-0,09;0,22;0,34;27,3;Mov00;Mov00;1;VERDADERO
8,1;0,58;5,94;0,01;0,21;0,32;27,3;Mov00;Mov00;1;VERDADERO
8,01;0,57;5,96;0,04;0,2;0,29;27,29;Mov00;Mov00;1;VERDADERO
7,97;0,54;5,95;0,06;0,18;0,27;27,29;Mov00;Mov00;1;VERDADERO
7,94;0,53;6,06;0,08;0,17;0,24;27,28;Mov00;Mov00;1;VERDADERO
7,93;0,49;6,14;0,07;0,16;0,24;27,27;Mov00;Mov00;1;VERDADERO
7,93;0,46;6,21;0,06;0,15;0,24;27,27;Mov00;Mov00;1;VERDADERO
7,9;0,34;6,19;0,05;0,07;0,21;27,28;Mov00;Mov00;1;VERDADERO
7,91;0,31;6,15;0,05;0,04;0,21;27,29;Mov00;Mov00;1;VERDADERO
7,95;0,26;6,11;0,04;0,02;0,21;27,3;Mov00;Mov00;1;VERDADERO
8,43;0,46;6,06;-0,24;0,15;0,38;27,3;Mov00;Mov00;1;VERDADERO
8,4;0,35;6,14;-0,27;0,17;0,37;27,3;Mov00;Mov00;1;VERDADERO
8,4;0,04;6,35;-0,29;0,17;0,33;27,3;Mov00;Mov00;1;VERDADERO
8,07;-0,24;6,03;-0,28;0,13;0,24;27,29;Mov00;Mov00;1;VERDADERO
7,93;-0,18;6,02;-0,28;0,11;0,22;27,29;Mov00;Mov00;1;VERDADERO
7,98;-0,22;6,09;-0,27;0,08;0,23;27,29;Mov00;Mov00;1;VERDADERO
8,16;-0,18;6,25;-0,24;-0,01;0,25;27,3;Mov00;Mov00;1;VERDADERO
8,17;-0,18;6,26;-0,25;-0,01;0,25;27,29;Mov00;Mov00;1;VERDADERO
8,18;-0,2;6,28;-0,25;-0,02;0,25;27,3;Mov00;Mov00;1;VERDADERO
8,23;-0,6;6,21;-0,24;-0,19;0,21;27,29;Mov00;Mov00;1;VERDADERO
8,25;-0,63;6,21;-0,23;-0,22;0,2;27,3;Mov00;Mov00;1;VERDADERO
8,28;-0,66;6,2;-0,21;-0,25;0,19;27,29;Mov00;Mov00;1;VERDADERO
8,39;-0,64;6,13;-0,17;-0,32;0,18;27,28;Mov00;Mov00;1;VERDADERO
8,4;-0,63;6,09;-0,17;-0,34;0,18;27,29;Mov00;Mov00;1;VERDADERO
8,45;-0,61;6,06;-0,17;-0,35;0,19;27,3;Mov00;Mov00;1;VERDADERO
8,6;-0,76;6,12;-0,19;-0,47;0,22;27,31;Mov00;Mov00;1;VERDADERO
8,64;-0,79;6,11;-0,2;-0,48;0,22;27,32;Mov00;Mov00;1;VERDADERO
8,68;-0,8;6,08;-0,2;-0,49;0,22;27,31;Mov00;Mov00;1;VERDADERO
8,76;-0,86;5,96;-0,23;-0,51;0,22;27,29;Mov00;Mov00;1;VERDADERO
8,75;-0,85;5,91;-0,25;-0,51;0,23;27,29;Mov00;Mov00;1;VERDADERO
8,77;-0,87;5,92;-0,26;-0,51;0,24;27,3;Mov00;Mov00;1;VERDADERO
8,92;-1,03;5,9;-0,37;-0,53;0,26;27,29;Mov00;Mov00;1;VERDADERO
8,91;-1,07;5,87;-0,39;-0,54;0,25;27,28;Mov00;Mov00;1;VERDADERO
8,92;-1,11;5,82;-0,41;-0,54;0,25;27,28;Mov00;Mov00;1;VERDADERO
8,87;-1,21;5,64;-0,46;-0,58;0,2;27,3;Mov00;Mov00;1;VERDADERO
8,88;-1,18;5,58;-0,47;-0,59;0,19;27,29;Mov00;Mov00;1;VERDADERO
8,9;-1,13;5,5;-0,48;-0,6;0,2;27,3;Mov00;Mov00;1;VERDADERO
9,03;-1,1;5,31;-0,56;-0,58;0,2;27,31;Mov00;Mov00;1;VERDADERO
9,05;-1,11;5,24;-0,59;-0,57;0,2;27,31;Mov00;Mov00;1;VERDADERO
9,04;-1,1;5,11;-0,62;-0,54;0,19;27,29;Mov00;Mov00;1;VERDADERO
8,93;-1,19;4,87;-0,78;-0,45;0,18;27,29;Mov00;Mov00;1;VERDADERO
8,96;-1,21;4,85;-0,79;-0,45;0,17;27,29;Mov00;Mov00;1;VERDADERO
8,97;-1,24;4,76;-0,79;-0,45;0,16;27,29;Mov00;Mov00;1;VERDADERO
9,02;-1,25;4,55;-0,8;-0,45;0,12;27,28;Mov00;Mov00;1;VERDADERO
9,04;-1,25;4,46;-0,8;-0,45;0,12;27,29;Mov00;Mov00;1;VERDADERO
9,06;-1,25;4,35;-0,8;-0,44;0,12;27,29;Mov00;Mov00;1;VERDADERO
8,9;-1,33;4,07;-0,74;-0,34;0,12;27,29;Mov00;Mov00;1;VERDADERO
8,89;-1,33;4,07;-0,71;-0,34;0,12;27,3;Mov00;Mov00;1;VERDADERO
8,92;-1,33;4,06;-0,67;-0,36;0,11;27,31;Mov00;Mov00;1;VERDADERO
9,14;-1,19;3,64;-0,49;-0,31;0,29;27,29;Mov00;Mov00;1;VERDADERO
9,11;-1,21;3,67;-0,47;-0,29;0,31;27,3;Mov00;Mov00;1;VERDADERO
9,09;-1,22;3,69;-0,46;-0,28;0,33;27,28;Mov00;Mov00;1;VERDADERO
8,98;-1,27;3,76;-0,43;-0,26;0,35;27,31;Mov00;Mov00;1;VERDADERO
8,89;-1,32;3,74;-0,42;-0,26;0,34;27,3;Mov00;Mov00;1;VERDADERO
8,83;-1,36;3,72;-0,42;-0,26;0,34;27,3;Mov00;Mov00;1;VERDADERO
8,74;-1,61;3,71;-0,25;-0,33;0,26;27,28;Mov00;Mov00;1;VERDADERO
8,72;-1,6;3,63;-0,23;-0,33;0,26;27,29;Mov00;Mov00;1;VERDADERO
8,73;-1,59;3,58;-0,23;-0,33;0,27;27,29;Mov00;Mov00;1;VERDADERO
8,72;-1,63;3,52;-0,21;-0,3;0,3;27,29;Mov00;Mov00;1;VERDADERO
8,71;-1,71;3,58;-0,2;-0,3;0,3;27,3;Mov00;Mov00;1;VERDADERO
8,71;-1,81;3,61;-0,19;-0,31;0,3;27,29;Mov00;Mov00;1;VERDADERO
8,83;-2,21;3,36;0,02;-0,33;0,32;27,29;Mov00;Mov00;1;VERDADERO
8,89;-2,18;3,37;0,06;-0,33;0,32;27,29;Mov00;Mov00;1;VERDADERO
8,94;-2,17;3,38;0,08;-0,33;0,33;27,3;Mov00;Mov00;1;VERDADERO
9,22;-1,99;3,54;0,04;-0,3;0,37;27,29;Mov00;Mov00;1;VERDADERO
9,21;-2,08;3,56;0,02;-0,3;0,37;27,29;Mov00;Mov00;1;VERDADERO
9,22;-2,2;3,59;0,01;-0,31;0,36;27,28;Mov00;Mov00;1;VERDADERO
9,06;-2,34;3,49;0,01;-0,32;0,31;27,3;Mov00;Mov00;1;VERDADERO
9,04;-2,38;3,47;0,02;-0,33;0,32;27,29;Mov00;Mov00;1;VERDADERO
9,09;-2,41;3,37;0,02;-0,34;0,34;27,29;Mov00;Mov00;1;VERDADERO
9,26;-2,72;3,42;0,14;-0,4;0,36;27,29;Mov00;Mov00;1;VERDADERO
9,25;-2,75;3,38;0,16;-0,42;0,35;27,29;Mov00;Mov00;1;VERDADERO
9,25;-2,77;3,3;0,19;-0,44;0,34;27,29;Mov00;Mov00;1;VERDADERO
9,19;-2,73;3,14;0,25;-0,49;0,3;27,3;Mov00;Mov00;1;VERDADERO
9,18;-2,7;3,1;0,26;-0,5;0,28;27,3;Mov00;Mov00;0,9883;VERDADERO
9,21;-2,63;3,08;0,25;-0,52;0,26;27,29;Mov00;Mov00;0,9883;VERDADERO
9,38;-2,52;2,64;0,12;-0,45;0,19;27,29;Mov00;Mov00;0,9883;VERDADERO
9,33;-2,55;2,6;0,11;-0,42;0,17;27,29;Mov00;Mov00;0,9883;VERDADERO
9,3;-2,57;2,56;0,11;-0,39;0,16;27,29;Mov00;Mov00;0,9883;VERDADERO
8,74;-2,43;2,76;0,12;-0,2;0,13;27,29;Mov00;Mov00;0,9648;VERDADERO
8,65;-2,44;2,86;0,13;-0,19;0,13;27,3;Mov00;Mov00;0,9648;VERDADERO
8,61;-2,45;2,91;0,15;-0,18;0,14;27,31;Mov00;Mov00;0,9648;VERDADERO
8,33;-2,36;3,09;0,16;-0,18;0,19;27,3;Mov00;Mov00;0,9648;VERDADERO
8,29;-2,33;3,17;0,15;-0,18;0,21;27,3;Mov00;Mov00;0,9648;VERDADERO
8,21;-2,34;3,28;0,13;-0,2;0,23;27,29;Mov00;Mov00;0,9961;VERDADERO
7,82;-2,43;3,31;0,14;-0,37;0,17;27,28;Mov00;Mov00;0,9961;VERDADERO
7,84;-2,43;3,29;0,15;-0,39;0,14;27,29;Mov00;Mov00;0,9961;VERDADERO
7,87;-2,43;3,3;0,14;-0,42;0,11;27,3;Mov00;Mov00;0,9961;VERDADERO
8,06;-2,43;3,24;0,14;-0,51;-0,01;27,3;Mov00;Mov00;0,9961;VERDADERO
8,15;-2,44;3,14;0,12;-0,54;-0,04;27,3;Mov00;Mov00;1;VERDADERO
8,24;-2,45;3,07;0,11;-0,55;-0,06;27,31;Mov00;Mov00;1;VERDADERO
8,52;-2,71;2,68;-0,09;-0,49;-0,09;27,29;Mov00;Mov00;1;VERDADERO
8,5;-2,75;2,63;-0,11;-0,47;-0,1;27,3;Mov00;Mov00;1;VERDADERO
8,49;-2,81;2,58;-0,14;-0,46;-0,1;27,29;Mov00;Mov00;1;VERDADERO
8,54;-3,12;2,24;-0,23;-0,5;-0,1;27,29;Mov00;Mov00;1;VERDADERO
8,55;-3,14;2,11;-0,24;-0,5;-0,11;27,28;Mov00;Mov00;1;VERDADERO
8,55;-3,15;2,02;-0,25;-0,51;-0,11;27,29;Mov00;Mov00;1;VERDADERO
8,57;-3,25;1,73;-0,27;-0,5;-0,15;27,3;Mov00;Mov00;1;VERDADERO
8,6;-3,31;1,69;-0,27;-0,5;-0,16;27,3;Mov00;Mov00;1;VERDADERO
8,61;-3,39;1,66;-0,28;-0,48;-0,17;27,29;Mov00;Mov00;1;VERDADERO
8,51;-3,45;1,36;-0,36;-0,5;-0,19;27,29;Mov00;Mov00;1;VERDADERO
8,48;-3,47;1,34;-0,37;-0,51;-0,2;27,29;Mov00;Mov00;1;VERDADERO
8,45;-3,53;1,3;-0,38;-0,53;-0,21;27,29;Mov00;Mov00;1;VERDADERO
8,42;-3,63;0,97;-0,38;-0,58;-0,27;27,3;Mov00;Mov00;1;VERDADERO
8,45;-3,63;0,81;-0,38;-0,58;-0,29;27,3;Mov00;Mov00;1;VERDADERO
8,46;-3,64;0,72;-0,38;-0,57;-0,31;27,29;Mov00;Mov00;1;VERDADERO
7,8;-3,96;0,61;-0,27;-0,71;-0,54;27,3;Mov00;Mov00;1;VERDADERO
7,72;-4,01;0,61;-0,22;-0,78;-0,6;27,28;Mov00;Mov00;1;VERDADERO
7,73;-4,05;0,54;-0,17;-0,85;-0,64;27,29;Mov00;Mov00;1;VERDADERO
8,41;-3,27;-0,32;0,05;-0,77;-0,64;27,31;Mov00;Mov00;1;VERDADERO
8,38;-3,23;-0,28;0,03;-0,71;-0,6;27,3;Mov00;Mov00;1;VERDADERO
8,34;-3,23;-0,2;0,02;-0,68;-0,58;27,3;Mov00;Mov00;1;VERDADERO
8,27;-3,3;-0,09;-0,07;-0,6;-0,55;27,29;Mov00;Mov00;1;VERDADERO
8,28;-3,23;-0,1;-0,09;-0,6;-0,56;27,29;Mov00;Mov00;1;VERDADERO
8,31;-3,02;-0,19;-0,11;-0,59;-0,57;27,3;Mov00;Mov00;1;VERDADERO
8,79;-2,59;-0,31;-0,28;-0,48;-0,37;27,29;Mov00;Mov00;1;VERDADERO
8,72;-2,56;-0,25;-0,3;-0,45;-0,33;27,29;Mov00;Mov00;1;VERDADERO
8,68;-2,57;-0,19;-0,31;-0,43;-0,3;27,3;Mov00;Mov00;1;VERDADERO
8,72;-2,67;-0,35;-0,31;-0,39;-0,29;27,29;Mov00;Mov00;1;VERDADERO
8,71;-2,72;-0,44;-0,29;-0,36;-0,32;27,3;Mov00;Mov00;1;VERDADERO
8,67;-2,74;-0,43;-0,26;-0,33;-0,35;27,31;Mov00;Mov00;1;VERDADERO
8,64;-1,84;0,32;-0,09;-0,14;-0,55;27,29;Mov00;Mov00;1;VERDADERO
8,58;-1,66;0,41;-0,11;-0,12;-0,58;27,29;Mov00;Mov00;1;VERDADERO
8,54;-1,51;0,52;-0,14;-0,1;-0,6;27,31;Mov00;Mov00;1;VERDADERO
9,12;-0,31;0,68;-0,65;0,15;-0,83;27,3;Mov00;Mov00;1;VERDADERO
9,2;-0,22;0,76;-0,72;0,19;-0,84;27,3;Mov00;Mov00;1;VERDADERO
9,23;-0,13;0,88;-0,78;0,23;-0,86;27,31;Mov00;Mov00;1;VERDADERO
9,35;0,24;1,25;-0,91;0,31;-0,83;27,31;Mov00;Mov00;1;VERDADERO
9,39;0,31;1,32;-0,92;0,32;-0,81;27,3;Mov00;Mov00;1;VERDADERO
9,5;0,44;1,42;-0,92;0,33;-0,73;27,31;Mov00;Mov00;1;VERDADERO
9,85;0,28;1,36;-0,7;0,4;-0,25;27,3;Mov00;Mov00;1;VERDADERO
9,87;0,16;1,28;-0,65;0,43;-0,21;27,31;Mov00;Mov00;1;VERDADERO
9,84;0,07;1,23;-0,59;0,47;-0,18;27,31;Mov00;Mov00;1;VERDADERO
9,67;-0,15;1,61;-0,32;0,6;-0,13;27,3;Mov00;Mov00;1;VERDADERO
9,6;-0,13;1,92;-0,19;0,63;-0,12;27,3;Mov00;Mov00;1;VERDADERO
9,55;-0,11;2,23;-0,1;0,63;-0,12;27,31;Mov00;Mov00;1;VERDADERO
9,96;0,27;3;0,16;0,41;-0,22;27,3;Mov00;Mov00;1;VERDADERO
10,07;0,36;3;0,15;0,39;-0,24;27,31;Mov00;Mov00;1;VERDADERO
10,25;0,43;2,96;0,14;0,38;-0,26;27,3;Mov00;Mov00;1;VERDADERO
10,78;0,4;3,25;-0,09;0,68;-0,34;27,3;Mov00;Mov00;1;VERDADERO
10,77;0,39;3,36;-0,12;0,7;-0,35;27,3;Mov00;Mov00;1;VERDADERO
10,76;0,36;3,49;-0,16;0,71;-0,37;27,31;Mov00;Mov00;1;VERDADERO
10,76;0,2;3,57;-0,25;0,7;-0,42;27,3;Mov00;Mov00;1;VERDADERO
10,77;0,14;3,58;-0,28;0,69;-0,43;27,31;Mov00;Mov00;1;VERDADERO
10,83;0,01;3,61;-0,3;0,65;-0,45;27,3;Mov00;Mov00;1;VERDADERO
11,18;0,11;3,75;-0,22;0,51;-0,49;27,32;Mov00;Mov00;1;VERDADERO
11,17;0,17;3,75;-0,2;0,49;-0,48;27,3;Mov00;Mov00;1;VERDADERO
11,18;0,25;3,74;-0,18;0,47;-0,46;27,3;Mov00;Mov00;1;VERDADERO
11,14;0,39;3,85;-0,13;0,44;-0,4;27,31;Mov00;Mov00;1;VERDADERO
11,06;0,42;3,93;-0,11;0,42;-0,37;27,3;Mov00;Mov00;1;VERDADERO
10,97;0,44;3,97;-0,1;0,4;-0,34;27,29;Mov00;Mov00;1;VERDADERO
10,88;0,11;4,21;-0,05;0,19;-0,36;27,3;Mov00;Mov00;1;VERDADERO
10,98;-0,03;4,24;-0,05;0,16;-0,38;27,31;Mov00;Mov00;1;VERDADERO
11,14;-0,27;4,28;-0,05;0,11;-0,42;27,31;Mov00;Mov00;1;VERDADERO
10,97;-0,36;4,68;0,11;-0,12;-0,48;27,3;Mov00;Mov00;0,9883;VERDADERO
10,76;0,1;4,69;0,17;-0,16;-0,47;27,3;Mov00;Mov00;0,9883;VERDADERO
10,61;0,49;4,66;0,2;-0,19;-0,46;27,31;Mov00;Mov00;0,9883;VERDADERO
10,41;1,57;4,45;0,23;-0,36;-0,43;27,3;Mov00;Mov00;0,9883;VERDADERO
10,4;1,76;4,34;0,21;-0,39;-0,42;27,3;Mov00;Mov00;0,9883;VERDADERO
10,4;1,88;4,18;0,18;-0,42;-0,41;27,32;Mov00;Mov00;0,9648;VERDADERO
10,17;1,79;2,77;-0,1;-0,47;-0,22;27,3;Mov00;Mov00;0,9648;VERDADERO
10,12;1,61;2,53;-0,15;-0,45;-0,18;27,31;Mov00;Mov00;0,9648;VERDADERO
10,07;1,49;2,36;-0,18;-0,41;-0,16;27,32;Mov00;Mov00;0,9648;VERDADERO
9,85;0,8;1,84;-0,28;-0,23;-0,07;27,3;Mov00;Mov00;1;VERDADERO
9,72;0,45;1,73;-0,31;-0,13;-0,05;27,29;Mov00;Mov00;1;VERDADERO
9,61;0,2;1,72;-0,32;-0,07;-0,04;27,3;Mov00;Mov00;1;VERDADERO
8,74;-0,91;2,23;-0,12;0,06;-0,19;27,29;Mov00;Mov00;1;VERDADERO
8,69;-0,83;2,25;-0,06;0,02;-0,24;27,29;Mov00;Mov00;1;VERDADERO
8,7;-0,73;2,22;-0,02;-0,01;-0,27;27,3;Mov00;Mov00;1;VERDADERO
9,62;0,42;1,84;0,14;-0,09;-0,43;27,31;Mov00;Mov00;1;VERDADERO
9,7;0,51;1,85;0,14;-0,06;-0,42;27,31;Mov00;Mov00;1;VERDADERO
9,76;0,61;1,87;0,14;-0,04;-0,4;27,3;Mov00;Mov00;1;VERDADERO
10,32;0,56;2,02;0,11;-0,01;-0,37;27,29;Mov00;Mov00;1;VERDADERO
10,53;0,51;2,1;0,11;-0,02;-0,38;27,3;Mov00;Mov00;1;VERDADERO
10,71;0,5;2,15;0,11;-0,04;-0,38;27,31;Mov00;Mov00;1;VERDADERO
11,4;0,69;2,57;0,22;-0,14;-0,19;27,29;Mov00;Mov00;1;VERDADERO
11,43;0,83;2,6;0,22;-0,16;-0,16;27,29;Mov00;Mov00;1;VERDADERO
11,46;0,89;2,57;0,21;-0,16;-0,12;27,29;Mov00;Mov00;1;VERDADERO
11,47;0,92;2,53;0,15;-0,09;0,06;27,3;Mov00;Mov00;1;VERDADERO
11,41;0,94;2,43;0,11;-0,03;0,16;27,29;Mov00;Mov00;1;VERDADERO
11,36;0,96;2,39;0,08;0,02;0,22;27,31;Mov00;Mov00;1;VERDADERO
10,33;0,26;2,56;-0,14;0,14;0,44;27,32;Mov00;Mov00;1;VERDADERO
10,2;0,12;2,55;-0,15;0,13;0,45;27,3;Mov00;Mov00;1;VERDADERO
