Caso,Accuracy,F1_macro
C1: 39 sin normalizar,0.8184383819379115,0.7658119718079461
C2: 39 + StandardScaler,0.9764816556914393,0.9763080392591215
C3: 30 (sin temp/mags) + StandardScaler,0.9463781749764817,0.9365109948581873
